	positive	neutral	negative	total	positive_list	neutral_list	negative_list
0767815335	2	2	9	13	[9192, 416]	[1168, 3969]	[4152, 7209, 6320, 1514, 5546, 550, 4722, 8751, 1886]
0782009123	1	2	4	7	[5597]	[4377, 6541]	[8161, 1187, 1478, 638]
0780619331	1	2	2	5	[9736]	[6322, 6864]	[7144, 2374]
0780629876	1	0	2	3	[4765]	[]	[5163, 7490]
0767812131	0	1	1	2	[]	[5944]	[151]
0767824032	1	0	1	2	[2163]	[]	[9244]
0615115187	24	2	0	26	[8163, 4247, 2254, 7309, 9401, 441, 504, 1554, 3561, 2579, 9650, 4867, 7810, 6906, 1860, 2878, 9910, 6933, 7868, 1910, 9971, 8937, 8957, 3997]	[1684, 7723]	[]
0783116934	1	0	1	2	[9159]	[]	[4298]
0769403468	0	0	4	4	[]	[]	[1161, 5554, 7651, 7688]
0764127861	3	0	4	7	[3156, 4317, 5739]	[]	[322, 8576, 601, 8779]
0738921947	6	1	0	7	[5169, 5274, 8442, 8644, 2721, 6907]	[4860]	[]
0738900672	12	3	1	16	[5170, 3219, 2237, 6289, 1395, 4454, 2474, 8475, 3570, 8647, 649, 897]	[1721, 3903, 2916]	[6794]
0782011284	0	2	0	2	[]	[9164, 5248]	[]
0783223099	3	0	1	4	[9165, 2295, 5954]	[]	[6744]
0767813464	0	0	1	1	[]	[]	[9168]
0780621603	1	1	4	6	[2801]	[2172]	[5412, 6680, 7895, 4969]
0780020634	1	3	3	7	[2672]	[8173, 8398, 377]	[1704, 8901, 6968]
0783200544	0	3	7	10	[]	[3167, 7518, 7967]	[2197, 2278, 3352, 2423, 9572, 7636, 8908]
0783204914	0	1	4	5	[]	[9679]	[5178, 5352, 2668, 4800]
0767821742	0	0	5	5	[]	[]	[163, 7196, 8631, 1755, 3794]
0780022270	0	1	2	3	[]	[9694]	[4168, 8848]
0767801865	5	0	0	5	[6192, 2180, 1533, 9575, 7631]	[]	[]
0767806808	0	0	3	3	[]	[]	[3168, 7506, 1888]
0783221983	3	3	5	11	[7158, 378, 8661]	[4269, 3265, 5919]	[8297, 5512, 3839, 7904, 1979]
0767847431	0	0	1	1	[]	[]	[2178]
0767819446	1	1	7	9	[7200]	[9561]	[7161, 1215, 8241, 7287, 1664, 5736, 6889]
0767827651	2	1	2	5	[681, 8909]	[170]	[1431, 8470]
0767827678	0	0	2	2	[]	[]	[1181, 3764]
0767009711	3	1	1	5	[5531, 8567, 3815]	[4177]	[7582]
0783221088	2	4	9	15	[602, 4633]	[5189, 3215, 9526, 6644]	[215, 252, 3359, 5505, 2510, 5538, 4811, 832, 1883]
078322172X	0	1	12	13	[]	[7683]	[6203, 9197, 3218, 3400, 3498, 2650, 654, 2704, 5800, 8770, 4845, 8847]
0767811070	0	0	2	2	[]	[]	[3176, 9875]
0783113196	0	0	6	6	[]	[]	[3177, 4453, 8479, 7527, 2682, 7708]
0767824008	1	1	6	8	[2188]	[2264]	[4185, 8227, 1301, 3597, 616, 9682]
0767804929	0	0	8	8	[]	[]	[6210, 9288, 284, 6425, 3527, 6732, 740, 8790]
0783222475	1	1	3	5	[8947]	[959]	[9191, 808, 1878]
0782010539	0	0	1	1	[]	[]	[7176]
0738919012	3	2	0	5	[1194, 6635, 5754]	[3580, 2935]	[]
0783114664	0	1	1	2	[]	[181]	[977]
0783111037	0	0	1	1	[]	[]	[4189]
0767840895	0	1	1	2	[]	[7179]	[6529]
0738921467	7	0	0	7	[183, 7261, 2531, 3629, 1679, 1717, 5860]	[]	[]
0783112645	0	0	1	1	[]	[]	[5202]
0767814037	0	0	3	3	[]	[]	[2198, 1390, 5455]
0783210973	1	0	3	4	[7412]	[]	[7182, 2282, 386]
0783107986	0	2	6	8	[]	[4609, 7818]	[9201, 4344, 576, 8748, 9853, 1964]
0767815718	0	1	2	3	[]	[5877]	[6222, 9905]
0767808673	1	4	18	23	[6616]	[2205, 1286, 4614, 593]	[4218, 4271, 454, 2469, 5491, 1492, 9509, 501, 3505, 3589, 9661, 2692, 9747, 6788, 759, 776, 3804, 4896]
0783115008	0	1	4	5	[]	[8204]	[4238, 8357, 8655, 5752]
076620748X	3	2	1	6	[9314, 3876, 7877]	[3192, 1487]	[2523]
0780622545	2	6	20	28	[7461, 617]	[237, 9283, 8309, 7300, 2492, 4624]	[2206, 2225, 9351, 4397, 379, 9418, 7426, 5496, 4537, 2552, 4623, 612, 7612, 7647, 6892, 5891, 8864, 876, 1933, 4987]
076783917X	0	1	3	4	[]	[8783]	[6225, 8534, 9574]
0780608372	2	0	9	11	[4462, 6929]	[]	[190, 7237, 9367, 8465, 466, 1481, 2516, 1600, 5942]
0783114885	0	2	4	6	[]	[3472, 3828]	[5210, 7743, 6860, 5980]
076780922X	0	0	5	5	[]	[]	[5211, 4530, 9571, 7652, 4956]
0780022076	0	1	0	1	[]	[7190]	[]
0782006930	0	1	5	6	[]	[4866]	[6232, 8256, 1473, 3545, 6846]
0767832566	0	1	3	4	[]	[8720]	[8212, 8531, 9879]
0767827740	0	1	2	3	[]	[7198]	[9417, 846]
0780625277	1	3	5	9	[9899]	[7199, 3249, 890]	[7277, 2398, 3382, 841, 9920]
0782006787	0	0	2	2	[]	[]	[202, 5625]
0780022084	0	0	3	3	[]	[]	[204, 278, 4897]
078322253X	0	2	2	4	[]	[4697, 2896]	[8220, 7773]
0780625129	0	2	11	13	[]	[5714, 850]	[1221, 9235, 4505, 2502, 2517, 552, 2567, 2578, 6829, 6888, 9888]
0783219105	0	4	5	9	[]	[3540, 7642, 6736, 6993]	[8223, 5502, 636, 644, 2852]
0780622030	0	0	2	2	[]	[]	[3212, 4349]
0767847121	0	0	1	1	[]	[]	[7208]
0510539610	5	1	0	6	[5236, 432, 2484, 7610, 9894]	[9914]	[]
0783219172	1	1	7	9	[6716]	[4683]	[7211, 5394, 2594, 5840, 4977, 7961, 7993]
0782010059	0	2	1	3	[]	[1234, 7776]	[7900]
0767802551	0	0	8	8	[]	[]	[4231, 5280, 5336, 5470, 5495, 1592, 2626, 2978]
0780623614	1	3	14	18	[4336]	[1236, 4769, 8737]	[2291, 2313, 6366, 5377, 3391, 7553, 5693, 4730, 1724, 5822, 6867, 2833, 9922, 6982]
0783116918	0	0	2	2	[]	[]	[7217, 9822]
078311611X	1	0	1	2	[702]	[]	[227]
0780627792	0	1	2	3	[]	[3683]	[2240, 3333]
076782170X	0	1	6	7	[]	[8741]	[1242, 4297, 2669, 6869, 968, 8993]
0767801814	6	1	0	7	[3345, 4401, 3476, 2499, 2867, 3968]	[2242]	[]
078061755X	0	1	1	2	[]	[7449]	[7222]
0738920770	15	2	4	21	[3231, 6267, 7322, 7336, 7372, 3395, 8432, 417, 6467, 1469, 9800, 9827, 1941, 7941, 3994]	[2258, 866]	[5325, 5456, 1507, 9693]
0783225253	2	2	2	6	[1576, 1939]	[3365, 6973]	[2248, 1601]
0780022629	0	0	5	5	[]	[]	[2249, 3281, 7369, 7765, 7795]
0767827791	2	2	8	12	[3293, 7611]	[5254, 6984]	[4277, 7434, 439, 7509, 2548, 7534, 6688, 4880]
0767857178	0	1	1	2	[]	[2250]	[8878]
0780021134	2	1	3	6	[3238, 2615]	[6707]	[9788, 8880, 4988]
0780620801	0	0	3	3	[]	[]	[2252, 5656, 4740]
0769721125	0	0	1	1	[]	[]	[5258]
0780627776	1	2	6	9	[4444]	[4666, 1983]	[1256, 6315, 3563, 9641, 6967, 5974]
0767809254	0	1	4	5	[]	[4908]	[246, 3691, 5773, 4949]
0767850661	1	0	4	5	[2259]	[]	[6280, 329, 1348, 7548]
0780622170	0	0	1	1	[]	[]	[4262]
0767802535	1	1	4	6	[960]	[5764]	[8265, 4451, 1710, 8822]
0767810872	0	0	6	6	[]	[]	[4263, 2515, 7580, 633, 2703, 3850]
0783219733	0	0	2	2	[]	[]	[7246, 5799]
0783225539	0	0	1	1	[]	[]	[254]
0767809246	1	0	6	7	[407]	[]	[3254, 4473, 3478, 8607, 8853, 3905]
0780022491	1	1	4	6	[6701]	[8405]	[4266, 3421, 8472, 7589]
078062775X	0	0	3	3	[]	[]	[5273, 3308, 3622]
0767805267	1	1	4	6	[259]	[4284]	[8510, 2560, 9886, 7841]
0767847571	0	1	2	3	[]	[2274]	[2609, 1629]
0780621611	0	0	1	1	[]	[]	[9277]
0782011179	1	0	0	1	[7256]	[]	[]
0780023447	0	0	2	2	[]	[]	[3262, 3975]
0767850246	0	1	7	8	[]	[9278]	[3332, 5404, 483, 9524, 5540, 556, 6762]
0780613856	0	0	4	4	[]	[]	[7260, 6578, 6671, 4941]
0783217471	1	1	0	2	[1454]	[4279]	[]
0780613678	0	0	2	2	[]	[]	[8282, 7899]
0767819624	0	0	3	3	[]	[]	[6300, 3386, 6885]
0780021312	1	0	1	2	[5285]	[]	[1401]
0767802578	1	1	6	8	[1913]	[6856]	[1281, 4321, 7377, 6737, 1779, 4862]
0780628519	1	2	7	10	[7500]	[3385, 2737]	[5286, 3315, 1352, 2633, 3680, 6781, 7764]
0767818172	1	2	0	3	[1795]	[9285, 9610]	[]
0780622375	1	0	1	2	[6304]	[]	[676]
0783201672	0	1	8	9	[]	[3272]	[6489, 8497, 8561, 8585, 1642, 7732, 854, 6928]
078060959X	1	0	6	7	[307]	[]	[3274, 6373, 9520, 7613, 5794, 7916]
0783200870	1	0	2	3	[5775]	[]	[1287, 2498]
0782007848	0	0	2	2	[]	[]	[1289, 732]
076783822X	2	1	2	5	[404, 5440]	[2999]	[7271, 9885]
0783222149	0	2	3	5	[]	[619, 1807]	[4288, 7366, 4565]
078322365X	1	0	4	5	[6512]	[]	[5296, 9364, 7399, 6702]
0783222424	0	0	2	2	[]	[]	[8295, 8700]
0773386777	2	2	1	5	[6699, 9741]	[9296, 5660]	[435]
0782010660	0	1	4	5	[]	[4364]	[4294, 1467, 7774, 1958]
0767851013	0	2	8	10	[]	[7469, 1753]	[1297, 4433, 3447, 1658, 2788, 1774, 3824, 1987]
0767821505	0	0	5	5	[]	[]	[7284, 8516, 5594, 4694, 1874]
0767823354	0	2	2	4	[]	[3393, 9477]	[6319, 1504]
0767812743	0	0	5	5	[]	[]	[2305, 346, 8676, 1844, 8976]
0783114222	0	2	0	2	[]	[1304, 8566]	[]
078200847X	0	0	1	1	[]	[]	[4306]
0780627717	0	0	3	3	[]	[]	[1313, 9608, 998]
078062338X	0	0	1	1	[]	[]	[6336]
0767835948	0	2	7	9	[]	[7550, 1897]	[8322, 6535, 9559, 5573, 2664, 815, 1989]
0767814924	0	0	1	1	[]	[]	[3309]
0780020200	0	4	3	7	[]	[311, 1349, 4456, 4841]	[1496, 2528, 8997]
0780625358	0	0	1	1	[]	[]	[8327]
0780627830	0	0	2	2	[]	[]	[7307, 4484]
078062565X	1	1	4	6	[835]	[9331]	[6437, 4672, 8855, 7971]
0769720323	0	0	1	1	[]	[]	[1329]
0767817699	0	0	6	6	[]	[]	[318, 3351, 3672, 3689, 1709, 9908]
0767811097	0	1	13	14	[]	[746]	[323, 6362, 5350, 6519, 496, 7486, 9546, 594, 3631, 3669, 733, 5819, 4991]
0780021118	0	1	2	3	[]	[1549]	[5348, 7770]
0767819594	1	2	5	8	[756]	[9347, 5711]	[6478, 595, 6791, 7797, 831]
0780020901	0	0	2	2	[]	[]	[334, 7559]
0783215517	0	0	1	1	[]	[]	[7328]
0767819462	0	0	4	4	[]	[]	[337, 7699, 729, 1745]
0780622383	0	0	2	2	[]	[]	[8354, 2598]
0767811054	1	0	0	1	[3342]	[]	[]
0780627865	0	1	0	1	[]	[8367]	[]
0780623789	0	1	1	2	[]	[5368]	[3398]
0783214235	0	2	1	3	[]	[1363, 8604]	[6546]
0780613880	0	0	2	2	[]	[]	[6392, 725]
0767819764	0	1	4	5	[]	[4917]	[5382, 8428, 4628, 7675]
0767819179	0	1	1	2	[]	[6953]	[2382]
0783217048	0	1	3	4	[]	[8795]	[5396, 3480, 5961]
0767808460	0	0	1	1	[]	[]	[7373]
0783218923	1	0	0	1	[4399]	[]	[]
0780623215	0	0	1	1	[]	[]	[5407]
0780623258	0	0	3	3	[]	[]	[5410, 1823, 9994]
0767804325	0	0	1	1	[]	[]	[9412]
0767821718	1	0	3	4	[919]	[]	[1404, 9705, 7825]
0780630548	0	0	1	1	[]	[]	[7388]
078321541X	0	0	1	1	[]	[]	[2414]
0767818083	0	0	2	2	[]	[]	[2415, 7938]
0780023145	0	0	1	1	[]	[]	[1413]
0783105533	1	0	3	4	[878]	[]	[7402, 4814, 2902]
0782006760	0	0	3	3	[]	[]	[6439, 6584, 8919]
0782008364	0	1	5	6	[]	[3408]	[6513, 6628, 3692, 1764, 813]
0780619536	0	0	1	1	[]	[]	[6441]
0780627873	0	1	3	4	[]	[5798]	[9433, 538, 6946]
076780337X	0	1	2	3	[]	[6446]	[1466, 1988]
0783116640	1	0	1	2	[4461]	[]	[9438]
0767812115	0	1	2	3	[]	[516]	[2437, 8942]
0767823729	2	0	1	3	[2747, 6916]	[]	[1433]
0783112610	1	1	0	2	[9997]	[7421]	[]
0767832248	0	0	1	1	[]	[]	[3427]
0783208227	1	0	1	2	[4447]	[]	[5520]
0767804309	1	0	1	2	[5450]	[]	[879]
0783114583	0	2	1	3	[]	[1566, 3614]	[6462]
0767809688	0	0	2	2	[]	[]	[5457, 4905]
0783213638	0	0	1	1	[]	[]	[4459]
0780623088	0	0	1	1	[]	[]	[1449]
0783116926	0	1	2	3	[]	[7435]	[7504, 5720]
0767802616	0	1	4	5	[]	[7438]	[772, 5832, 9833, 3952]
0780624378	0	3	0	3	[]	[6477, 6806, 1986]	[]
0767818105	0	0	2	2	[]	[]	[447, 7785]
0767833600	0	1	1	2	[]	[8461]	[8553]
0767018907	3	1	4	8	[6483, 5795, 928]	[457]	[7704, 7726, 6863, 5960]
0767840135	0	0	1	1	[]	[]	[2467]
0767850823	0	1	1	2	[]	[2472]	[8483]
0780623592	0	0	2	2	[]	[]	[5480, 1544]
0783222548	0	0	2	2	[]	[]	[6500, 5701]
0767855000	0	0	4	4	[]	[]	[4491, 6568, 3718, 9952]
076785344X	1	0	1	2	[1791]	[]	[1485]
0767819381	0	0	2	2	[]	[]	[2493, 3782]
0767856449	0	0	1	1	[]	[]	[4502]
076784730X	0	1	0	1	[]	[1495]	[]
078062579X	0	0	1	1	[]	[]	[5514]
0783116896	0	0	1	1	[]	[]	[9511]
0780020227	0	1	5	6	[]	[2792]	[9518, 8545, 9696, 2754, 6996]
0780620364	0	0	1	1	[]	[]	[8512]
0783217358	1	1	0	2	[3979]	[2514]	[]
0783225482	1	1	1	3	[6537]	[4527]	[4604]
0783215088	1	1	0	2	[2744]	[5539]	[]
0780021940	0	0	3	3	[]	[]	[2535, 572, 5642]
0767815122	1	0	0	1	[525]	[]	[]
0780021932	0	1	0	1	[]	[4551]	[]
0767847202	0	1	1	2	[]	[8558]	[5557]
0767827635	0	0	1	1	[]	[]	[5560]
078200833X	0	1	1	2	[]	[2649]	[7530]
0783110871	0	0	2	2	[]	[]	[2565, 3754]
076784436X	0	0	1	1	[]	[]	[1552]
0783225504	1	0	2	3	[5854]	[]	[1559, 5997]
0780626516	0	0	1	1	[]	[]	[7542]
0780625803	0	0	1	1	[]	[]	[1570]
0769720994	0	0	1	1	[]	[]	[9596]
0783114907	0	0	2	2	[]	[]	[6611, 8606]
078311494X	0	0	1	1	[]	[]	[2592]
0767825616	0	1	2	3	[]	[1996]	[9604, 3647]
0782011276	0	0	1	1	[]	[]	[7570]
0780020731	0	1	4	5	[]	[3728]	[2606, 623, 3757, 985]
0767811429	0	0	4	4	[]	[]	[1590, 7663, 8802, 8854]
0780621549	0	0	3	3	[]	[]	[5617, 1666, 8674]
0767830806	0	0	1	1	[]	[]	[9621]
0780023536	0	0	1	1	[]	[]	[600]
0780021185	0	0	2	2	[]	[]	[8617, 4773]
0780630149	0	0	1	1	[]	[]	[3620]
0780662911	0	0	2	2	[]	[]	[618, 7947]
0767827902	0	1	2	3	[]	[3626]	[9690, 922]
0783213115	0	0	1	1	[]	[]	[7605]
0780622278	0	1	0	1	[]	[625]	[]
0783219148	0	1	0	1	[]	[2645]	[]
0780620879	0	0	1	1	[]	[]	[8643]
0767850262	0	0	2	2	[]	[]	[1638, 641]
0769720382	1	0	0	1	[645]	[]	[]
0783114338	0	1	1	2	[]	[647]	[9758]
0767844386	0	0	1	1	[]	[]	[3655]
0780619439	0	1	1	2	[]	[6836]	[5683]
0780022122	0	0	1	1	[]	[]	[6700]
0780020707	0	0	1	1	[]	[]	[2680]
0767819543	0	0	2	2	[]	[]	[1667, 9816]
0780018648	0	1	0	1	[]	[3670]	[]
0783114532	0	1	0	1	[]	[4707]	[]
0783114729	0	0	2	2	[]	[]	[711, 9793]
0767807693	0	0	1	1	[]	[]	[2736]
0767812166	1	0	1	2	[7944]	[]	[3732]
0780020618	0	1	1	2	[]	[719]	[8743]
076784257X	1	0	1	2	[1727]	[]	[9887]
076781214X	0	1	2	3	[]	[8732]	[2764, 2927]
0783116780	0	1	1	2	[]	[2753]	[8933]
0783217390	0	0	4	4	[]	[]	[1739, 4799, 4828, 3857]
0767821483	0	0	1	1	[]	[]	[9783]
0773386726	0	0	1	1	[]	[]	[1744]
0783104146	0	0	1	1	[]	[]	[6798]
0783224060	0	0	1	1	[]	[]	[8750]
0780020987	0	0	1	1	[]	[]	[8756]
0767809548	0	1	2	3	[]	[9991]	[9801, 3977]
076782184X	0	1	0	1	[]	[9804]	[]
0783116764	0	1	0	1	[]	[7747]	[]
0767837363	0	1	0	1	[]	[1775]	[]
0783217536	0	0	1	1	[]	[]	[5820]
0773345019	0	0	2	2	[]	[]	[6838, 8945]
0780020804	0	0	1	1	[]	[]	[5826]
0780631323	0	1	0	1	[]	[4834]	[]
0767804341	0	0	2	2	[]	[]	[9839, 8924]
076780760X	1	0	1	2	[792]	[]	[5946]
0780607287	0	0	2	2	[]	[]	[5845, 4982]
0767816641	0	1	1	2	[]	[6943]	[9846]
0780620372	0	0	1	1	[]	[]	[9860]
0780021045	1	0	1	2	[2969]	[]	[6884]
0780029410	0	0	1	1	[]	[]	[9868]
0767819470	1	0	1	2	[4875]	[]	[987]
076780676X	0	0	1	1	[]	[]	[1842]
0767821920	0	0	1	1	[]	[]	[5881]
0767807596	0	0	1	1	[]	[]	[6900]
0780022319	0	0	1	1	[]	[]	[1856]
0783114877	0	0	1	1	[]	[]	[3862]
0767812387	0	1	0	1	[]	[2875]	[]
0780630106	0	0	1	1	[]	[]	[868]
0783224788	0	0	1	1	[]	[]	[8885]
0783207425	0	0	1	1	[]	[]	[9939]
078002320X	0	0	1	1	[]	[]	[7881]
0780627857	0	0	1	1	[]	[]	[2928]
0767848535	0	0	1	1	[]	[]	[4960]
0780630068	0	0	1	1	[]	[]	[8920]
0783205945	1	1	0	2	[9979]	[929]	[]
0783224885	1	0	0	1	[2966]	[]	[]
0780019164	0	0	1	1	[]	[]	[7930]
0780625773	0	0	1	1	[]	[]	[4997]
0780020715	0	0	1	1	[]	[]	[974]
